TOWNCODE,COUNTYNAME,TOWNNAME,median_household_income,gini_index,poverty_family_below_poverty_level_rate,poverty_family_below_poverty_level,tax_household_count
9007010,連江縣,南竿鄉,627.5146067415731,0.41755221353189587,0.018433179723502304,32,5340.0
9007020,連江縣,北竿鄉,532.5090293453725,0.4121026084964676,0.01692047377326565,10,1772.0
9007030,連江縣,莒光鄉,609.9218455743879,0.41144320906766335,0.021352313167259787,6,1062.0
9007040,連江縣,東引鄉,646.5363175675676,0.35225991014025426,0.02197802197802198,4,1184.0
9020010,金門縣,金城鎮,534.9276281233585,0.47058098778736207,0.0055067718410477745,74,26654.0
9020020,金門縣,金沙鎮,493.186231884058,0.4679069102272092,0.009073543457497613,57,12420.0
9020030,金門縣,金湖鎮,543.7852028639618,0.4724277356437049,0.006677411927239235,58,19274.0
9020040,金門縣,金寧鄉,498.5219226018938,0.4748459878607038,0.004593175853018373,49,19432.0
9020050,金門縣,烈嶼鄉,496.1275709450664,0.47221446687155516,0.013727245598328858,46,7682.0
9020060,金門縣,烏坵鄉,591.8658536585366,0.3900823731769686,0.015625,1,410.0
10002010,宜蘭縣,宜蘭市,442.119294889314,0.4864653711669379,0.010755393420969872,342,51226.0
10002020,宜蘭縣,羅東鎮,426.95906744025126,0.48562126214331075,0.013483909956186734,357,37574.0
10002030,宜蘭縣,蘇澳鎮,381.9963556046383,0.45817277065152573,0.022254127781765973,279,18110.0
10002040,宜蘭縣,頭城鎮,359.7094191790155,0.4901001102991723,0.015302935665209244,147,11742.0
10002050,宜蘭縣,礁溪鄉,391.8618541380887,0.49017801300243835,0.018880762034359583,222,17496.0
10002060,宜蘭縣,壯圍鄉,386.53863076381555,0.47657238033357674,0.01720514841082217,131,11364.0
10002070,宜蘭縣,員山鄉,376.83010277091194,0.5102975953370951,0.015573851800416625,157,15374.0
10002080,宜蘭縣,冬山鄉,401.82552101606905,0.5023906093943136,0.01373867290266004,235,28502.0
10002090,宜蘭縣,五結鄉,396.93817836468884,0.48897611350267167,0.015184225676453656,211,22112.0
10002100,宜蘭縣,三星鄉,386.4887720008092,0.508841419597889,0.03412518853695324,181,9886.0
10002110,宜蘭縣,大同鄉,383.98216560509553,0.45889462897506655,0.054820415879017016,116,1570.0
10002120,宜蘭縣,南澳鄉,376.8988764044944,0.46772783972227583,0.09975816203143893,165,2136.0
10004010,新竹縣,竹北市,954.0316268649602,0.5812213604708878,0.004288254366698044,287,125874.0
10004020,新竹縣,竹東鎮,506.70840423684666,0.5393792534875003,0.012131660441209335,380,57590.0
10004030,新竹縣,新埔鎮,439.1786262667622,0.5415275487158271,0.010809665112335736,102,19538.0
10004040,新竹縣,關西鎮,396.6538408112238,0.4984573052075368,0.015372983870967742,122,14398.0
10004050,新竹縣,湖口鄉,434.71409580080183,0.459772017902823,0.011572338830584708,247,47390.0
10004060,新竹縣,新豐鄉,460.1913263802958,0.48433159249190877,0.008808749630505468,149,33942.0
10004070,新竹縣,芎林鄉,460.7459314404432,0.5994352720947834,0.013848631239935587,86,11552.0
10004080,新竹縣,橫山鄉,385.63305941845766,0.46225380563333435,0.022953328232593728,90,6328.0
10004090,新竹縣,北埔鄉,397.6617050067659,0.49513216341057004,0.017711654268508677,50,4434.0
10004100,新竹縣,寶山鄉,533.3250606662255,0.6601624833576636,0.009480812641083521,42,9066.0
10004110,新竹縣,峨眉鄉,385.63401253918494,0.46897334094855425,0.019988895058300944,36,2552.0
10004120,新竹縣,尖石鄉,355.48516075845015,0.46051031762809624,0.05399129172714078,186,2426.0
10004130,新竹縣,五峰鄉,354.9652406417112,0.40810755528348885,0.05740645822655049,112,1122.0
10005010,苗栗縣,苗栗市,457.61280843776757,0.4983001649882639,0.014091495484767291,426,51388.0
10005020,苗栗縣,苑裡鎮,352.1032964158019,0.49329693251660117,0.01785441782389745,234,22934.0
10005030,苗栗縣,通霄鎮,357.62080111547726,0.4624599425576865,0.017719298245614034,202,15778.0
10005040,苗栗縣,竹南鎮,484.32341506601483,0.4873257004948581,0.0116710096524388,318,51958.0
10005050,苗栗縣,頭份市,464.06700003215747,0.4880477185870581,0.013726331270298426,448,62194.0
10005060,苗栗縣,後龍鎮,389.32264310783006,0.4647282656850585,0.019017279660198862,197,16526.0
10005070,苗栗縣,卓蘭鎮,372.4801455989411,0.4674509400177645,0.02264868603042877,131,6044.0
10005080,苗栗縣,大湖鄉,374.9486887115165,0.4735122208661915,0.023726176584986387,122,5262.0
10005090,苗栗縣,公館鄉,407.41647531572903,0.46105544427477346,0.016918807626891057,189,17420.0
10005100,苗栗縣,銅鑼鄉,393.1682596132474,0.4511487667764275,0.025974025974025976,136,8998.0
10005110,苗栗縣,南庄鄉,359.06410256410254,0.523657005317054,0.04117315284827975,146,3588.0
10005120,苗栗縣,頭屋鄉,391.44702228717574,0.5368173239112687,0.02119285498032092,70,5474.0
10005130,苗栗縣,三義鄉,375.16864428174705,0.475346638178363,0.018602810211755392,94,7922.0
10005140,苗栗縣,西湖鄉,389.6029678982435,0.44493323085388653,0.02630405706642889,59,3302.0
10005150,苗栗縣,造橋鄉,383.7405508350425,0.43755321233511973,0.02012072434607646,70,6826.0
10005160,苗栗縣,三灣鄉,357.309585492228,0.4691384597583941,0.023380418899171942,48,3088.0
10005170,苗栗縣,獅潭鄉,386.3204633204633,0.4406822885312765,0.03189493433395872,51,1554.0
10005180,苗栗縣,泰安鄉,396.8265306122449,0.41690705750838236,0.039850560398505604,96,1568.0
10007010,彰化縣,彰化市,417.9301077752117,0.523255724924754,0.01341873365888749,970,129900.0
10007020,彰化縣,鹿港鎮,359.2490832416575,0.5215681710544582,0.019750341997264022,462,43632.0
10007030,彰化縣,和美鎮,367.76135405372844,0.5067888632308353,0.01941980340445936,486,49806.0
10007040,彰化縣,線西鄉,339.2089235127479,0.5108270276475998,0.026679148139480458,114,8472.0
10007050,彰化縣,伸港鄉,347.50611491829204,0.48024385153687305,0.02165410664886006,227,18970.0
10007060,彰化縣,福興鄉,335.6261288908374,0.5180458773211974,0.018179075205551783,241,22810.0
10007070,彰化縣,秀水鄉,363.5186344517265,0.5188765131559623,0.013236088600756347,147,20446.0
10007080,彰化縣,花壇鄉,367.79745292535307,0.5177697740768135,0.01845772233165536,253,23792.0
10007090,彰化縣,芬園鄉,341.81678115799804,0.4755639249752989,0.027622641509433964,183,10190.0
10007100,彰化縣,員林市,421.0123677636246,0.5116325830369971,0.016406450558939533,703,64846.0
10007110,彰化縣,溪湖鎮,385.58397282174263,0.4846323343048175,0.012960476385077939,222,25020.0
10007120,彰化縣,田中鎮,389.3887810140237,0.4744699709913031,0.02558051008755234,336,18540.0
10007130,彰化縣,大村鄉,366.6873450468902,0.5671131377808106,0.015810276679841896,160,18554.0
10007140,彰化縣,埔鹽鄉,345.4090087585152,0.4996035187239523,0.019078947368421053,174,14386.0
10007150,彰化縣,埔心鄉,358.73974514563105,0.4785666101642975,0.02247817202303548,242,16480.0
10007160,彰化縣,永靖鄉,360.2792191746973,0.480879668518446,0.017181818181818184,189,16188.0
10007170,彰化縣,社頭鄉,365.25608503645884,0.545760318805614,0.017037822552138565,241,19474.0
10007180,彰化縣,二水鄉,362.4638593094547,0.4634451506402045,0.03605818479819709,176,6198.0
10007190,彰化縣,北斗鎮,386.36386268343813,0.5175521737827808,0.016912926307963944,182,15264.0
10007200,彰化縣,二林鎮,392.4415625,0.4834926117054848,0.023842730955701667,359,19200.0
10007210,彰化縣,田尾鄉,366.7964699393271,0.4882971447713925,0.026706231454005934,216,10878.0
10007220,彰化縣,埤頭鄉,366.5339790153349,0.4994727834741119,0.02372845286231113,223,12390.0
10007230,彰化縣,芳苑鄉,346.411100099108,0.4719389436331253,0.01583459404942007,157,10090.0
10007240,彰化縣,大城鄉,368.89555745407944,0.46188486671356455,0.0297785222408338,160,4682.0
10007250,彰化縣,竹塘鄉,387.2667614790735,0.46211982645061456,0.02516411378555799,138,4922.0
10007260,彰化縣,溪州鄉,367.6558681969641,0.5033178960044938,0.03237489025460931,295,10804.0
10008010,南投縣,南投市,410.0446181464582,0.4877041274470112,0.012595754988342872,416,53476.0
10008020,南投縣,埔里鎮,359.60366485366484,0.49639038848932276,0.020361079576665324,556,30888.0
10008030,南投縣,草屯鎮,399.90780214385074,0.4891966764090343,0.00892405628104828,300,48884.0
10008040,南投縣,竹山鎮,377.5539979231568,0.4865690213967373,0.015100247462249382,299,21186.0
10008050,南投縣,集集鎮,409.7644724556489,0.47738496082666093,0.0166542381307482,67,4284.0
10008060,南投縣,名間鄉,363.9798176210272,0.4612509152771325,0.01492306502744916,193,14914.0
10008070,南投縣,鹿谷鄉,384.1844130853111,0.5091766997390749,0.005107252298263534,40,6236.0
10008080,南投縣,中寮鄉,325.8716320246343,0.4741541862206576,0.024836381943279074,148,5196.0
10008090,南投縣,魚池鄉,326.29223300970875,0.49864427175415327,0.016488845780795344,102,5150.0
10008100,南投縣,國姓鄉,328.85538516405137,0.4609828126790843,0.02458249832999332,184,5608.0
10008110,南投縣,水里鄉,366.6138119768191,0.49425085556468784,0.021249028245659496,164,6212.0
10008120,南投縣,信義鄉,415.9294585196225,0.42953559374775063,0.032749304077288356,200,4026.0
10008130,南投縣,仁愛鄉,385.473831300813,0.4413029105223711,0.040154015401540157,219,3936.0
10009010,雲林縣,斗六市,442.2395600558659,0.510143564758309,0.01888353253273241,662,57280.0
10009020,雲林縣,斗南鎮,410.1402270342459,0.4936123312519868,0.01799553395507684,274,20966.0
10009030,雲林縣,虎尾鎮,482.85784908407135,0.45391686142817905,0.02308587386548755,496,32972.0
10009040,雲林縣,西螺鎮,413.4287186325615,0.45775644031495444,0.01755312128810875,266,16498.0
10009050,雲林縣,土庫鎮,414.79214218896163,0.46100338149407943,0.021903405979629833,200,10690.0
10009060,雲林縣,北港鎮,431.7573642493789,0.46959653693727527,0.020337682271680736,318,16906.0
10009070,雲林縣,古坑鄉,368.68104426787744,0.48378332542707253,0.03137918075911311,334,12334.0
10009080,雲林縣,大埤鄉,362.71560283687944,0.48445047848298545,0.024081878386514148,160,7050.0
10009090,雲林縣,莿桐鄉,382.60330021889206,0.46701425959016996,0.021815304623036057,193,11878.0
10009100,雲林縣,林內鄉,355.7321860715246,0.44873443531629953,0.030227596017069702,170,7438.0
10009110,雲林縣,二崙鄉,399.6371027346637,0.4795406600117094,0.022153406383992377,186,8118.0
10009120,雲林縣,崙背鄉,425.5134658947898,0.47073671386343985,0.016246762420532142,138,7946.0
10009130,雲林縣,麥寮鄉,480.56667009884677,0.47139961944537134,0.01781021897810219,305,19424.0
10009140,雲林縣,東勢鄉,441.35065761561304,0.4231509428804527,0.026818515797207936,146,4714.0
10009150,雲林縣,褒忠鄉,407.4680475980608,0.46402689192370555,0.025967780716518393,108,4538.0
10009160,雲林縣,臺西鄉,432.3329920655234,0.44214358671228066,0.03203097500879972,273,7814.0
10009170,雲林縣,元長鄉,398.1598690835851,0.49691940347075464,0.02018369429640549,178,7944.0
10009180,雲林縣,四湖鄉,400.84335002782416,0.43419309452829324,0.03394751535455053,304,7188.0
10009190,雲林縣,口湖鄉,386.98108243547983,0.4633470757263807,0.04579025110782865,465,7982.0
10009200,雲林縣,水林鄉,383.3480512401199,0.45717907601811114,0.041079685987740616,382,7338.0
10010010,嘉義縣,太保市,468.9346665151687,0.47122654604668623,0.012191450933172787,162,17602.0
10010020,嘉義縣,朴子市,461.1986791414419,0.4819986527809743,0.01315363182790125,203,18170.0
10010030,嘉義縣,布袋鎮,401.34119356280735,0.45349299972526114,0.013755290496344748,143,8948.0
10010040,嘉義縣,大林鎮,401.7306351972121,0.48026306898315624,0.01342882721575649,120,12626.0
10010050,嘉義縣,民雄鄉,412.25303048487757,0.4697991885103115,0.007866397442369173,187,33328.0
10010060,嘉義縣,溪口鄉,359.67172944511947,0.483899856858563,0.014571948998178506,64,4938.0
10010070,嘉義縣,新港鄉,427.57011284434117,0.45588799940415703,0.009357941252924357,108,12052.0
10010080,嘉義縣,六腳鄉,398.98001025115326,0.4569380306135425,0.016633477802506735,142,7804.0
10010090,嘉義縣,東石鄉,360.71969460891245,0.45215152748870324,0.015350434255705918,152,6418.0
10010100,嘉義縣,義竹鄉,390.50932545850173,0.46003322427440496,0.011816838995568686,80,6434.0
10010110,嘉義縣,鹿草鄉,395.99925345278086,0.4486675292418491,0.015724008448720957,67,5358.0
10010120,嘉義縣,水上鄉,389.4423767239751,0.45919367269673494,0.013527575442247659,221,21172.0
10010130,嘉義縣,中埔鄉,384.69155805333014,0.46957458576239824,0.01360231305033513,207,16726.0
10010140,嘉義縣,竹崎鄉,371.6038672142368,0.4756421544925749,0.011716325263811297,151,11688.0
10010150,嘉義縣,梅山鄉,395.2654972752044,0.4569186181284647,0.009600667872547656,69,5872.0
10010160,嘉義縣,番路鄉,371.52806414662086,0.47379993448537905,0.01297016861219196,50,3492.0
10010170,嘉義縣,大埔鄉,350.5908469945355,0.45009414264763425,0.016666666666666666,40,1464.0
10010180,嘉義縣,阿里山鄉,370.91551459293396,0.46304758202864355,0.034447821681864235,68,1302.0
