TOWNCODE,COUNTYNAME,TOWNNAME,year,daily_solar_radiation,relative_humidity,air_temperature,earth_temperature,earth_temperature_amplitude,wind_speed,atmospheric_pressure,heating_degree_days,cooling_degree_days,heating_design_temperature,cooling_design_temperature,frost_days
09007010,連江縣,南竿鄉,2013,3.870526849315069,84.91120547945206,20.089945205479456,20.51942465753425,14.61,6.280164383561643,101.19369863013699,664.3900000000001,1317.7199999999998,7.176666666666667,29.099999999999998,0
09007010,連江縣,南竿鄉,2014,3.8147997260273976,85.33649315068493,20.307698630136986,20.764575342465754,15.509999999999998,5.88372602739726,101.20547945205479,673.5300000000002,1406.3399999999997,7.576666666666667,30.52333333333333,0
09007010,連江縣,南竿鄉,2015,3.411427123287671,86.33002739726028,20.318027397260273,20.74254794520548,14.12,6.25049315068493,101.22865753424658,598.69,1335.27,8.243333333333334,28.80666666666666,0
09007010,連江縣,南竿鄉,2016,3.4749923497267763,86.7678961748634,20.688360655737707,21.12382513661202,16.23,5.9981967213114755,101.18707650273224,634.1999999999999,1508.3400000000001,5.239999999999999,29.953333333333333,0
09007010,連江縣,南竿鄉,2017,3.8513463013698632,85.0578904109589,20.648931506849316,21.110383561643836,14.600000000000001,6.266246575342465,101.2515890410959,584.74,1442.1,8.649999999999999,30.16,0
09007010,連江縣,南竿鄉,2018,3.803682191780822,85.47391780821917,20.608465753424657,21.131068493150682,16.49,6.065671232876713,101.1632876712329,605.1800000000001,1447.7699999999998,6.916666666666667,29.709999999999997,0
09007010,連江縣,南竿鄉,2019,3.6132569863013697,86.09309589041096,20.556164383561644,20.996794520547944,14.03,6.21345205479452,101.1686301369863,536.4100000000001,1359.91,9.780000000000001,30.159999999999997,0
09007010,連江縣,南竿鄉,2020,3.7667125683060108,85.59590163934426,20.720163934426232,21.18530054644809,14.080000000000002,6.382185792349727,101.26158469945355,537.5100000000001,1423.29,7.493333333333333,30.043333333333333,0
09007010,連江縣,南竿鄉,2021,3.832551506849315,85.24523287671235,20.940164383561648,21.35841095890411,15.010000000000002,6.089013698630137,101.19008219178082,539.1400000000001,1502.8,8.366666666666667,30.146666666666665,0
09007010,連江縣,南竿鄉,2022,3.7458717808219175,85.5827397260274,20.4346301369863,20.91920547945206,15.250000000000002,6.450739726027397,101.20832876712329,589.9800000000001,1369.12,7.9433333333333325,30.536666666666665,0
09007010,連江縣,南竿鄉,2023,3.861232602739726,84.66145205479452,20.83468493150685,21.26558904109589,15.85,5.893287671232877,101.21734246575343,602.0100000000001,1527.1699999999998,6.7,30.833333333333332,0
09007010,連江縣,南竿鄉,2024,3.7317232240437157,85.68860655737704,20.82773224043716,21.28743169398907,15.009999999999998,6.175573770491803,101.18122950819672,581.49,1506.64,7.226666666666667,30.400000000000002,0
09007010,連江縣,南竿鄉,2025,4.220339221556886,84.50161643835618,21.06282191780822,21.50745205479452,15.440000000000001,6.068821917808219,101.18756164383561,578.66,1587.0899999999995,8.0,30.27333333333333,0
09007020,連江縣,北竿鄉,2013,3.870526849315069,84.91120547945206,20.089945205479456,20.51942465753425,14.61,6.280164383561643,101.19369863013699,664.3900000000001,1317.7199999999998,7.176666666666667,29.099999999999998,0
09007020,連江縣,北竿鄉,2014,3.8147997260273976,85.33649315068493,20.307698630136986,20.764575342465754,15.509999999999998,5.88372602739726,101.20547945205479,673.5300000000002,1406.3399999999997,7.576666666666667,30.52333333333333,0
09007020,連江縣,北竿鄉,2015,3.411427123287671,86.33002739726028,20.318027397260273,20.74254794520548,14.12,6.25049315068493,101.22865753424658,598.69,1335.27,8.243333333333334,28.80666666666666,0
09007020,連江縣,北竿鄉,2016,3.4749923497267763,86.7678961748634,20.688360655737707,21.12382513661202,16.23,5.9981967213114755,101.18707650273224,634.1999999999999,1508.3400000000001,5.239999999999999,29.953333333333333,0
09007020,連江縣,北竿鄉,2017,3.8513463013698632,85.0578904109589,20.648931506849316,21.110383561643836,14.600000000000001,6.266246575342465,101.2515890410959,584.74,1442.1,8.649999999999999,30.16,0
09007020,連江縣,北竿鄉,2018,3.803682191780822,85.47391780821917,20.608465753424657,21.131068493150682,16.49,6.065671232876713,101.1632876712329,605.1800000000001,1447.7699999999998,6.916666666666667,29.709999999999997,0
09007020,連江縣,北竿鄉,2019,3.6132569863013697,86.09309589041096,20.556164383561644,20.996794520547944,14.03,6.21345205479452,101.1686301369863,536.4100000000001,1359.91,9.780000000000001,30.159999999999997,0
09007020,連江縣,北竿鄉,2020,3.7667125683060108,85.59590163934426,20.720163934426232,21.18530054644809,14.080000000000002,6.382185792349727,101.26158469945355,537.5100000000001,1423.29,7.493333333333333,30.043333333333333,0
09007020,連江縣,北竿鄉,2021,3.832551506849315,85.24523287671235,20.940164383561648,21.35841095890411,15.010000000000002,6.089013698630137,101.19008219178082,539.1400000000001,1502.8,8.366666666666667,30.146666666666665,0
09007020,連江縣,北竿鄉,2022,3.7458717808219175,85.5827397260274,20.4346301369863,20.91920547945206,15.250000000000002,6.450739726027397,101.20832876712329,589.9800000000001,1369.12,7.9433333333333325,30.536666666666665,0
09007020,連江縣,北竿鄉,2023,3.861232602739726,84.66145205479452,20.83468493150685,21.26558904109589,15.85,5.893287671232877,101.21734246575343,602.0100000000001,1527.1699999999998,6.7,30.833333333333332,0
09007020,連江縣,北竿鄉,2024,3.7317232240437157,85.68860655737704,20.82773224043716,21.28743169398907,15.009999999999998,6.175573770491803,101.18122950819672,581.49,1506.64,7.226666666666667,30.400000000000002,0
