年月,縣市,用電性質,售電量(度),用電佔比(%),,
11502,雲林縣,服務業,"48,998,708",13,,
11502,雲林縣,農林漁牧,29782665,7.9,,
11502,雲林縣,工業,203117074,53.87,,
11502,嘉義縣,住宅,61933775,28.94,,
11502,嘉義縣,服務業,"32,573,851",15.22,,
11502,嘉義縣,農林漁牧,18651529,8.71,,
11502,嘉義縣,工業,100875486,47.13,,
11502,屏東縣,住宅,106838015,33.97,,
11502,屏東縣,服務業,"72,792,275",23.15,,
11502,屏東縣,農林漁牧,54595889,17.36,,
11502,屏東縣,工業,80243483,25.52,,
11502,台東縣,住宅,32439745,48.69,,
11502,台東縣,服務業,"24,378,746",36.59,,
11502,台東縣,農林漁牧,2124724,3.19,,
11502,台東縣,工業,7675074,11.52,,
11502,花蓮縣,住宅,50746173,30.6,,
11502,花蓮縣,服務業,"40,347,864",24.33,,
11502,花蓮縣,農林漁牧,1759602,1.06,,
11502,花蓮縣,工業,72999446,44.01,,
11502,基隆市,住宅,57036242,55.58,,
11502,基隆市,服務業,"32,270,050",31.44,,
11502,基隆市,農林漁牧,11716,0.01,,
11502,基隆市,工業,13310424,12.97,,
11502,新竹市,住宅,68992981,11.06,,
11502,新竹市,服務業,"70,606,693",11.31,,
11502,新竹市,農林漁牧,568350,0.09,,
11502,新竹市,工業,483876284,77.54,,
11502,嘉義市,住宅,37049393,49.55,,
11502,嘉義市,服務業,"31,612,369",42.28,,
11502,嘉義市,農林漁牧,607285,0.81,,
11502,嘉義市,工業,5498135,7.35,,
11502,澎湖縣,住宅,12552751,44.24,,
11502,澎湖縣,服務業,"11,172,800",39.38,,
11502,澎湖縣,農林漁牧,336408,1.19,,
11502,澎湖縣,工業,4309112,15.19,,
11502,金門縣,住宅,9162167,48.75,,
11502,金門縣,服務業,"7,444,086",39.6,,
11502,金門縣,農林漁牧,211876,1.13,,
11502,金門縣,工業,1977784,10.52,,
11502,連江縣,住宅,2648105,45.2,,
11502,連江縣,服務業,"2,578,096",44,,
