TOWNCODE,COUNTYNAME,TOWNNAME,郵遞區號,行政區,electricity_consume_residential,electricity_consume_commercial,electricity_consume_total,electricity_price_industrial,electricity_price_commercial
63000050.0,臺北市,中正區,100,中正區,4744.41391720281,19400.708509815933,1482569002.4,0.08748538011695907,0.10959064327485381
63000060.0,臺北市,大同區,103,大同區,4253.639812811163,12907.200001783738,752404222.4,0.08748538011695907,0.10959064327485381
63000040.0,臺北市,中山區,104,中山區,4874.490383942417,20456.960397123992,2038297375.2,0.08748538011695907,0.10959064327485381
63000010.0,臺北市,松山區,105,松山區,4974.202688367672,20686.0991060429,1210056175.4,0.08748538011695907,0.10959064327485381
63000030.0,臺北市,大安區,106,大安區,5358.977702886665,21023.380841700335,2043927927.2,0.08748538011695907,0.10959064327485381
63000070.0,臺北市,萬華區,108,萬華區,4075.5709454008065,15858.516201341326,724323983.0,0.08748538011695907,0.10959064327485381
63000020.0,臺北市,信義區,110,信義區,4871.445194785747,17723.35581901553,1528086727.8,0.08748538011695907,0.10959064327485381
63000110.0,臺北市,士林區,111,士林區,4991.665840980973,19325.73701123731,1177697673.8,0.08748538011695907,0.10959064327485381
63000120.0,臺北市,北投區,112,北投區,4287.459711529855,19570.80992913891,1101110185.6,0.08748538011695907,0.10959064327485381
63000100.0,臺北市,內湖區,114,內湖區,4711.166728136491,26293.758636750445,1998338904.6,0.08748538011695907,0.10959064327485381
63000090.0,臺北市,南港區,115,南港區,4433.037676033014,19783.304110555917,996813099.8,0.08748538011695907,0.10959064327485381
63000080.0,臺北市,文山區,116,文山區,4319.148894726627,18875.339817050935,868026721.6,0.08748538011695907,0.10959064327485381
10017040.0,基隆市,仁愛區,200,仁愛區,3556.813089910863,14764.991052732948,183225661.2,0.08748538011695907,0.10959064327485381
10017070.0,基隆市,信義區,201,信義區,3714.1431096772526,17865.92387627739,183016314.4,0.08748538011695907,0.10959064327485381
10017010.0,基隆市,中正區,202,中正區,3444.7007575899784,15101.85441173751,256847862.2,0.08748538011695907,0.10959064327485381
10017050.0,基隆市,中山區,203,中山區,3626.5272592618408,13638.272447886275,145564485.8,0.08748538011695907,0.10959064327485381
10017060.0,基隆市,安樂區,204,安樂區,3754.1095070457623,18300.495409803552,306571351.2,0.08748538011695907,0.10959064327485381
10017030.0,基隆市,暖暖區,205,暖暖區,3626.663626203066,16825.679745392288,107379853.0,0.08748538011695907,0.10959064327485381
10017020.0,基隆市,七堵區,206,七堵區,3889.9652314571117,16644.79405561848,280689102.0,0.08748538011695907,0.10959064327485381
65000280.0,新北市,萬里區,207,萬里,3099.202173338063,18552.5897439778,82465278.6,0.08748538011695907,0.10959064327485381
65000270.0,新北市,金山區,208,金山,3329.588038332638,16146.793860957207,83170583.6,0.08748538011695907,0.10959064327485381
9007010.0,連江縣,南竿鄉,209,南竿,6587.015973301828,13916.47152108474,42831756.0,0.08748538011695907,0.10959064327485381
9007020.0,連江縣,北竿鄉,210,北竿,6251.3582445598495,11687.213281829108,10213299.0,0.08748538011695907,0.10959064327485381
9007030.0,連江縣,莒光鄉,211,莒光,6888.284127165696,11722.883603404,5855248.2,0.08748538011695907,0.10959064327485381
9007040.0,連江縣,東引鄉,212,東引,10405.000317645143,16300.390185059197,13747940.2,0.08748538011695907,0.10959064327485381
65000010.0,新北市,板橋區,220,板橋,4323.6112716171565,16979.807428024134,2181795173.6,0.08748538011695907,0.10959064327485381
65000110.0,新北市,汐止區,221,汐止,4267.528383276227,21250.490253619544,1235483999.0,0.08748538011695907,0.10959064327485381
65000180.0,新北市,深坑區,222,深坑,4231.8200421209385,21750.08476518136,125839902.4,0.08748538011695907,0.10959064327485381
65000190.0,新北市,石碇區,223,石碇,3349.355835950312,14379.863427499902,27545999.0,0.08748538011695907,0.10959064327485381
65000120.0,新北市,瑞芳區,224,瑞芳,3524.9673759663615,14664.124930888725,224779678.2,0.08748538011695907,0.10959064327485381
65000240.0,新北市,平溪區,226,平溪,2891.228236691498,11385.521708048449,12116712.2,0.08748538011695907,0.10959064327485381
65000250.0,新北市,雙溪區,227,雙溪,2536.1518265386976,12224.180572598543,41175117.2,0.08748538011695907,0.10959064327485381
65000260.0,新北市,貢寮區,228,貢寮,2834.6639408313727,15275.075998361723,50551500.2,0.08748538011695907,0.10959064327485381
65000060.0,新北市,新店區,231,新店,4249.349199518259,21912.13455269731,1499135601.0,0.08748538011695907,0.10959064327485381
65000200.0,新北市,坪林區,232,坪林,2724.097868753409,12687.45319494725,37095518.4,0.08748538011695907,0.10959064327485381
65000290.0,新北市,烏來區,233,烏來,4338.556994468155,26167.2011293345,19900451.8,0.08748538011695907,0.10959064327485381
65000040.0,新北市,永和區,234,永和,4267.176589668702,17057.839222771327,686083404.6,0.08748538011695907,0.10959064327485381
65000030.0,新北市,中和區,235,中和,4207.792061934207,20094.72303736554,2113587463.2,0.08748538011695907,0.10959064327485381
65000130.0,新北市,土城區,236,土城,4166.392767869809,19996.27435444314,1263052776.4,0.08748538011695907,0.10959064327485381
65000090.0,新北市,三峽區,237,三峽,3795.1087366724473,19387.41138249602,597268881.8,0.08748538011695907,0.10959064327485381
65000070.0,新北市,樹林區,238,樹林,4327.012421331895,23752.749735251193,1505625940.2,0.08748538011695907,0.10959064327485381
65000080.0,新北市,鶯歌區,239,鶯歌,3767.926283612754,17648.6060347825,710408837.8,0.08748538011695907,0.10959064327485381
65000020.0,新北市,三重區,241,三重,4303.777257183459,16798.55160669566,1597539750.0,0.08748538011695907,0.10959064327485381
65000050.0,新北市,新莊區,242,新莊,4420.170481447454,19802.015357635322,2178314873.2,0.08748538011695907,0.10959064327485381
65000160.0,新北市,泰山區,243,泰山,4397.979653377925,27675.216041877953,1278328228.4,0.08748538011695907,0.10959064327485381
65000170.0,新北市,林口區,244,林口,4368.704784166739,24833.839144976366,727700868.0,0.08748538011695907,0.10959064327485381
