feature,mean_abs_shap
total_area,0.03561981559144822
population_density,0.03553424078862473
education_bachelor,0.02677683116305867
population,0.02114157122912422
heating_fuel_coal_coke_rate,0.01979581218085316
daily_solar_radiation,0.019123641211886887
housing_unit_median_value,0.01415638991707039
education_college,0.012939503866150108
relative_humidity,0.01215446414609631
electricity_consume_total,0.012042548142426154
electricity_price_industrial,0.011667404879677623
education_professional_school,0.010479466224532387
housing_unit_median_gross_rent,0.010293168381738247
heating_fuel_gas,0.009905293481127312
occupancy_vacant_rate,0.00890841454663974
travel_time_average,0.008784760535482265
incentive_count_residential,0.008481112850663865
travel_time_less_than_10_rate,0.008255209801168914
education_doctoral,0.008202038829439068
education_high_school_graduate_rate,0.007550087504798743
sales_tax,0.007297583594516027
education_high_school_graduate,0.007231805832156247
education_bachelor_rate,0.007204781186456111
heating_fuel_electricity,0.006970777263489389
water_area,0.006388594228165222
travel_time_10_19_rate,0.006224176970755716
diversity,0.006183084740339324
median_household_income,0.006179358786998193
travel_time_40_59_rate,0.006161543727845517
electricity_price_commercial,0.005945928944660239
incentive_residential_state_level,0.0059062473059308335
transportation_public_rate,0.005357516866830598
occupation_agriculture_rate,0.005313959391183894
health_insurance_public_rate,0.004882446629920184
transportation_car_alone_rate,0.004810350839744859
atmospheric_pressure,0.004771349239882616
occupancy_owner_rate,0.004609532922465628
mortgage_with_rate,0.004347016817309127
travel_time_60_89_rate,0.004304420381124802
household_type_family_rate,0.004285205392667866
age_median,0.004168257906801937
poverty_family_below_poverty_level_rate,0.004167551131710972
heating_fuel_gas_rate,0.004150247871810905
education_less_than_high_school_rate,0.004125561947425095
age_55_64_rate,0.004066367473613443
age_65_74_rate,0.0040354170831516925
employ_rate,0.00400265593914139
travel_time_30_39_rate,0.003921582942267879
education_less_than_high_school,0.0038573605585417673
frost_days,0.0038364457477701123
health_insurance_none_rate,0.0037687857008652363
education_professional_school_rate,0.003567280529355722
earth_temperature_amplitude,0.0035579622209678534
age_more_than_85_rate,0.0033771987589358027
occupation_construction_rate,0.003369322648358864
occupation_finance_rate,0.003356332302777915
education_college_rate,0.0033179624282444124
cooling_design_temperature,0.003290991300985607
poverty_family_below_poverty_level,0.0032650914385008497
transportation_home_rate,0.00322599170695803
occupation_arts_rate,0.0032238946083543185
age_10_14_rate,0.003206021663936058
age_45_54_rate,0.003200841265962663
gini_index,0.0031304019374285043
average_household_size,0.0031218348301820897
occupation_public_rate,0.0031151394575072737
electricity_consume_residential,0.0030445274071953885
age_35_44_rate,0.002975006893468104
occupation_information_rate,0.0029641366126808427
occupation_transportation_rate,0.0029427591655053088
occupation_retail_rate,0.0029079859822140793
age_15_17_rate,0.002882427772504425
heating_fuel_fuel_oil_kerosene_rate,0.002868593048644432
age_5_9_rate,0.0028644659603443198
occupation_education_rate,0.002862347203154617
transportation_bicycle_rate,0.0028068877897512094
occupation_wholesale_rate,0.0027172769681960097
wind_speed,0.0022880133291843193
heating_fuel_other_rate,0.002222662086920479
electricity_consume_commercial,0.00215517622539914
property_tax,0.0020785531081195688
rebate,0.0019331429804027387
heating_fuel_none,0.0018512912948959893
dropout_16_19_inschool_rate,0.0014820460255025945
heating_fuel_other,0.0014035557330530075
transportation_motorcycle_rate,0.001271359035545508
feedin_tariff,0.0011289930831186326
heating_fuel_solar,0.0003269859293634616
heating_fuel_solar_rate,0.000285954101153161
cooperate_tax,0.00017574026649264435
