feature,target_corr
feedin_tariff,0.321659910155334
rebate,0.2801962301078337
heating_fuel_solar,0.24518592142391293
frost_days,-0.23038689113388897
housing_unit_median_value,0.2216822959443088
education_bachelor,0.21636725238369037
property_tax,0.17850959482840797
heating_fuel_solar_rate,0.152038009733637
unemployed,0.14592932663834227
net_metering,0.1382681081828694
education_doctoral,0.1373684272086112
poverty_family_below_poverty_level_rate,-0.12134217289982484
diversity,0.10433254113260665
occupancy_vacant_rate,-0.10237141974593215
transportation_home_rate,0.10231886350794243
occupation_administrative_rate,0.09826441573986547
sales_tax,0.09581841506426086
health_insurance_none_rate,-0.09225203344612988
occupation_manufacturing_rate,-0.08728691476438177
transportation_motorcycle_rate,0.08075452929590032
heating_fuel_coal_coke_rate,-0.07945231164286502
travel_time_less_than_10_rate,-0.07937785450347454
occupation_finance_rate,0.07864382859497562
education_professional_school_rate,0.07583322005122035
heating_fuel_none,0.06558894183323154
transportation_public_rate,-0.06247775337589788
transportation_walk_rate,-0.061963095971214736
education_doctoral_rate,0.06171567872197482
occupation_information_rate,0.060947287508213564
occupation_public_rate,0.057641183372713505
heating_fuel_other_rate,-0.05375222360229623
travel_time_60_89_rate,0.052813407959271495
population_density,-0.05057409249566218
heating_fuel_electricity,0.048662658717994536
education_less_than_high_school,0.04729043413408894
electricity_consume_total,-0.04500208090339942
travel_time_40_59_rate,0.043517235814955896
age_15_17_rate,0.04303623571510212
occupation_wholesale_rate,0.03737860069747308
total_area,-0.03678030978785627
occupation_transportation_rate,-0.035850175715676766
heating_fuel_other,-0.032739873397936214
travel_time_30_39_rate,0.026673801566364477
age_18_24_rate,-0.02588765799719851
occupation_construction_rate,-0.023526803695179344
occupation_retail_rate,-0.01832598641473012
cooperate_tax,-0.017607505249441963
occupation_agriculture_rate,-0.017266800491962095
water_area,-0.016480681181285015
heating_fuel_fuel_oil_kerosene_rate,-0.015912960182700945
occupation_arts_rate,-0.01284272313530194
age_75_84_rate,0.00868068968372674
transportation_bicycle_rate,0.005759415863267708
age_more_than_85_rate,0.0036481391793848125
transportation_carpool_rate,-0.003598995538035769
