feature,importance
relative_humidity,0.23312001602773263
electricity_price_industrial,0.09162413006348233
heating_fuel_gas,0.08272071692918269
population_density,0.05874214216993271
frost_days,0.03732200289850338
occupancy_owner_rate,0.03032268763869239
heating_fuel_electricity,0.02793533825940128
daily_solar_radiation,0.018460965640877906
incentive_residential_state_level,0.017378128436346497
housing_unit_median_value,0.016142244472550447
median_household_income,0.01442746576280246
education_college,0.01441753362164107
total_area,0.013106365887788886
education_high_school_graduate,0.011684025802093254
electricity_consume_residential,0.010898808260295427
housing_unit_median_gross_rent,0.01060480906590104
rebate,0.010137535707915602
education_bachelor,0.008988047031579162
household_type_family_rate,0.008231150107565659
sales_tax,0.008169976781144285
mortgage_with_rate,0.006953318120567376
earth_temperature_amplitude,0.006715675356756809
heating_fuel_coal_coke_rate,0.00667878133936102
electricity_consume_commercial,0.006602646276865326
heating_fuel_gas_rate,0.00619522614335512
diversity,0.006167608965438415
atmospheric_pressure,0.006087268886183413
average_household_size,0.005897912069099807
cooling_design_temperature,0.00573394627529605
transportation_car_alone_rate,0.005664233644286161
wind_speed,0.005114496955706285
transportation_public_rate,0.005073169471488079
occupancy_vacant_rate,0.0049957174782590446
heating_fuel_fuel_oil_kerosene_rate,0.004923125922659841
age_65_74_rate,0.004896247079724613
occupation_arts_rate,0.0048645154606447565
travel_time_less_than_10_rate,0.004864192053497053
age_35_44_rate,0.004806826048618468
occupation_public_rate,0.004787296511734598
population,0.004761071865243442
occupation_transportation_rate,0.004698066262933975
travel_time_30_39_rate,0.004681332869390871
occupation_education_rate,0.004646800203235625
travel_time_60_89_rate,0.004562032871165776
travel_time_40_59_rate,0.004523105437799173
education_college_rate,0.004500455247761336
occupation_finance_rate,0.0044727837959107515
gini_index,0.004421680736015638
travel_time_10_19_rate,0.004417925709942113
age_5_9_rate,0.00438029317275034
age_45_54_rate,0.004353157557878365
age_55_64_rate,0.004306556590534749
health_insurance_none_rate,0.004302233317312189
age_10_14_rate,0.004251634945285828
occupation_wholesale_rate,0.004248519856342706
occupation_construction_rate,0.004184197138048967
transportation_home_rate,0.004076713117766854
occupation_agriculture_rate,0.004067489657428073
age_median,0.004027495697492707
electricity_consume_total,0.004023355765703595
occupation_retail_rate,0.003991711563200341
water_area,0.003988203331818559
employ_rate,0.0039686175086770465
health_insurance_public_rate,0.003932431526474312
age_15_17_rate,0.0038711523674789133
education_high_school_graduate_rate,0.003760130862501749
age_more_than_85_rate,0.0037293369137355796
occupation_information_rate,0.0034598184168869537
education_less_than_high_school,0.003406772816651931
education_bachelor_rate,0.003372271723022731
education_less_than_high_school_rate,0.003298436488352827
poverty_family_below_poverty_level,0.003169030538219112
poverty_family_below_poverty_level_rate,0.0031038377439547354
incentive_count_residential,0.0030231939768741584
travel_time_average,0.0029345241370400755
education_professional_school_rate,0.002841579705646981
education_doctoral,0.0027070442664008554
dropout_16_19_inschool_rate,0.0022392995813046383
education_professional_school,0.0021066025061993337
heating_fuel_none,0.0020773465608253127
transportation_bicycle_rate,0.0020672829424558427
electricity_price_commercial,0.0019788610823895606
property_tax,0.0014923211545927377
transportation_motorcycle_rate,0.0013278802511901904
heating_fuel_other_rate,0.001258618845004088
heating_fuel_other,0.001045321439654413
cooperate_tax,0.0010293919325975037
heating_fuel_solar_rate,0.000825587260359472
heating_fuel_solar,0.000576679841149586
feedin_tariff,5.3516274426235595e-05
