feature,mean_abs_shap
relative_humidity,0.44831003014534493
electricity_price_industrial,0.24885371869998132
population_density,0.14874865992949188
frost_days,0.12898552976248132
incentive_residential_state_level,0.08792773180905687
heating_fuel_gas,0.062376197323201286
occupancy_owner_rate,0.05937743414029787
rebate,0.056165928818295276
daily_solar_radiation,0.055128189272915434
housing_unit_median_value,0.054226469118727506
education_high_school_graduate,0.048252890770744274
median_household_income,0.04258637821629304
sales_tax,0.04050788206193555
total_area,0.036417662759570577
incentive_count_residential,0.03304451204864552
housing_unit_median_gross_rent,0.031835242208166685
electricity_consume_residential,0.030084153241613443
heating_fuel_electricity,0.028940505805225954
household_type_family_rate,0.0247508262706122
electricity_consume_total,0.017839570447389916
earth_temperature_amplitude,0.01753406106664586
average_household_size,0.01690134652155853
heating_fuel_gas_rate,0.015660777923075533
mortgage_with_rate,0.015006341560552782
electricity_consume_commercial,0.014830428318528491
heating_fuel_coal_coke_rate,0.014441347602553766
atmospheric_pressure,0.014327022664003146
education_college,0.012639000145239
diversity,0.012474900061919453
cooling_design_temperature,0.011556888334533662
wind_speed,0.011523833805725895
electricity_price_commercial,0.011227058054556021
property_tax,0.011073154143863088
travel_time_average,0.00861056732555354
population,0.008525589809476455
heating_fuel_fuel_oil_kerosene_rate,0.008450092694047602
occupancy_vacant_rate,0.008277669153678762
transportation_public_rate,0.008155609109926751
education_bachelor,0.006689380377081243
transportation_car_alone_rate,0.006143135166222919
occupation_arts_rate,0.006044576117223117
travel_time_less_than_10_rate,0.005858503691840845
occupation_agriculture_rate,0.005615035353547937
health_insurance_none_rate,0.005350969654772553
age_65_74_rate,0.005263810569683598
occupation_transportation_rate,0.005258311769112577
travel_time_60_89_rate,0.005199667528108772
transportation_home_rate,0.005076723535407563
travel_time_40_59_rate,0.0049903463692318965
occupation_public_rate,0.004930940697024547
health_insurance_public_rate,0.004837658669765855
transportation_bicycle_rate,0.004791996552837278
travel_time_30_39_rate,0.004790214183944835
travel_time_10_19_rate,0.00478577766439667
age_median,0.004740976765253621
education_college_rate,0.004735282958294627
age_35_44_rate,0.004727646734441587
poverty_family_below_poverty_level,0.004632306628967523
age_10_14_rate,0.004614199547990022
gini_index,0.004582577805520035
occupation_finance_rate,0.004515733091766828
occupation_education_rate,0.004444054650290269
occupation_wholesale_rate,0.004360336392824192
age_5_9_rate,0.004332800537308574
age_45_54_rate,0.004091052461537305
education_professional_school_rate,0.003999083164551112
occupation_retail_rate,0.003967001668306926
water_area,0.003952057684326203
age_55_64_rate,0.00394675027242446
cooperate_tax,0.0039009175083338844
occupation_construction_rate,0.00388092001360979
age_more_than_85_rate,0.003821138686687653
education_high_school_graduate_rate,0.003809951083569755
education_less_than_high_school_rate,0.0035003578462939103
education_less_than_high_school,0.0034546243131904
employ_rate,0.003388905227501574
poverty_family_below_poverty_level_rate,0.003383955703867455
age_15_17_rate,0.0033795892391734394
education_bachelor_rate,0.0032873465765172858
occupation_information_rate,0.003261081524427847
education_doctoral,0.003221750785904819
heating_fuel_solar_rate,0.00312951279710329
dropout_16_19_inschool_rate,0.0025847616088473277
heating_fuel_none,0.0023533901177966955
transportation_motorcycle_rate,0.002326325038948766
education_professional_school,0.002324409535661343
heating_fuel_solar,0.0023204832483649813
heating_fuel_other_rate,0.001492417631675342
heating_fuel_other,0.0011219185577798123
feedin_tariff,0.00032866010526524817
