"資料期別","縣市","鄉鎮市區","設有戶籍住宅之平均人口數"
"098Q1","彰化縣","和美鎮",4.64
"098Q1","彰化縣","北斗鎮",4.33
"098Q1","彰化縣","員林鎮",4.61
"098Q1","彰化縣","溪湖鎮",5.43
"098Q1","彰化縣","田中鎮",4.76
"098Q1","彰化縣","二林鎮",6.21
"098Q1","彰化縣","線西鄉",5.93
"098Q1","彰化縣","伸港鄉",5.51
"098Q1","彰化縣","福興鄉",6.10
"098Q1","彰化縣","秀水鄉",5.22
"098Q1","彰化縣","花壇鄉",4.57
"098Q1","彰化縣","芬園鄉",5.38
"098Q1","彰化縣","大村鄉",6.33
"098Q1","彰化縣","埔鹽鄉",7.47
"098Q1","彰化縣","埔心鄉",4.53
"098Q1","彰化縣","永靖鄉",5.92
"098Q1","彰化縣","社頭鄉",5.82
"098Q1","彰化縣","二水鄉",4.64
"098Q1","彰化縣","田尾鄉",4.63
"098Q1","彰化縣","埤頭鄉",5.10
"098Q1","彰化縣","芳苑鄉",5.93
"098Q1","彰化縣","大城鄉",7.27
"098Q1","彰化縣","竹塘鄉",5.15
"098Q1","彰化縣","溪州鄉",5.86
"098Q1","南投縣","",4.35
"098Q1","南投縣","南投市",3.93
"098Q1","南投縣","埔里鎮",4.15
"098Q1","南投縣","草屯鎮",4.39
"098Q1","南投縣","竹山鎮",4.14
"098Q1","南投縣","集集鎮",4.35
"098Q1","南投縣","名間鄉",5.32
"098Q1","南投縣","鹿谷鄉",4.91
"098Q1","南投縣","中寮鄉",5.01
"098Q1","南投縣","魚池鄉",5.37
"098Q1","南投縣","國姓鄉",4.36
"098Q1","南投縣","水里鄉",4.25
"098Q1","南投縣","信義鄉",5.42
"098Q1","南投縣","仁愛鄉",4.27
"098Q1","雲林縣","",4.74
"098Q1","雲林縣","斗六市",3.89
"098Q1","雲林縣","斗南鎮",4.17
"098Q1","雲林縣","虎尾鎮",4.05
"098Q1","雲林縣","西螺鎮",4.92
"098Q1","雲林縣","土庫鎮",5.21
"098Q1","雲林縣","北港鎮",4.12
"098Q1","雲林縣","古坑鄉",5.02
"098Q1","雲林縣","大埤鄉",5.09
"098Q1","雲林縣","莿桐鄉",5.07
"098Q1","雲林縣","林內鄉",4.88
"098Q1","雲林縣","二崙鄉",5.59
"098Q1","雲林縣","崙背鄉",5.32
"098Q1","雲林縣","麥寮鄉",5.15
"098Q1","雲林縣","東勢鄉",5.55
"098Q1","雲林縣","褒忠鄉",5.31
"098Q1","雲林縣","台西鄉",5.80
"098Q1","雲林縣","元長鄉",5.41
"098Q1","雲林縣","四湖鄉",5.31
"098Q1","雲林縣","口湖鄉",5.96
"098Q1","雲林縣","水林鄉",5.75
