民國年,西元年,縣市,失業率
110,2021,臺北市,4.0
110,2021,臺南市,3.9
110,2021,臺東縣,3.8
110,2021,花蓮縣,3.8
110,2021,苗栗縣,3.9
110,2021,連江縣,
110,2021,金門縣,
110,2021,雲林縣,3.8
110,2021,高雄市,3.9
111,2022,南投縣,3.6
111,2022,嘉義市,3.6
111,2022,嘉義縣,3.6
111,2022,基隆市,3.8
111,2022,宜蘭縣,3.7
111,2022,屏東縣,3.7
111,2022,彰化縣,3.6
111,2022,新北市,3.7
111,2022,新竹市,3.6
111,2022,新竹縣,3.7
111,2022,桃園市,3.7
111,2022,澎湖縣,3.8
111,2022,臺中市,3.7
111,2022,臺北市,3.7
111,2022,臺南市,3.6
111,2022,臺東縣,3.6
111,2022,花蓮縣,3.5
111,2022,苗栗縣,3.6
111,2022,連江縣,0.2
111,2022,金門縣,1.3
111,2022,雲林縣,3.6
111,2022,高雄市,3.6
112,2023,南投縣,3.5
112,2023,嘉義市,3.5
112,2023,嘉義縣,3.5
112,2023,基隆市,3.5
112,2023,宜蘭縣,3.5
112,2023,屏東縣,3.5
112,2023,彰化縣,3.5
112,2023,新北市,3.5
112,2023,新竹市,3.4
112,2023,新竹縣,3.5
112,2023,桃園市,3.5
112,2023,澎湖縣,3.5
112,2023,臺中市,3.5
112,2023,臺北市,3.5
112,2023,臺南市,3.5
112,2023,臺東縣,3.4
112,2023,花蓮縣,3.3
112,2023,苗栗縣,3.5
112,2023,連江縣,0.2
112,2023,金門縣,1.2
112,2023,雲林縣,3.5
112,2023,高雄市,3.4
113,2024,南投縣,3.3
113,2024,嘉義市,3.3
113,2024,嘉義縣,3.4
113,2024,基隆市,3.5
113,2024,宜蘭縣,3.4
113,2024,屏東縣,3.4
113,2024,彰化縣,3.4
113,2024,新北市,3.4
113,2024,新竹市,3.3
113,2024,新竹縣,3.3
113,2024,桃園市,3.4
113,2024,澎湖縣,3.3
113,2024,臺中市,3.4
113,2024,臺北市,3.5
113,2024,臺南市,3.4
113,2024,臺東縣,3.3
113,2024,花蓮縣,3.3
113,2024,苗栗縣,3.3
113,2024,連江縣,0.1
113,2024,金門縣,1.2
113,2024,雲林縣,3.4
113,2024,高雄市,3.3
