TOWNCODE,COUNTYNAME,TOWNNAME,education_high_school_graduate,education_less_than_high_school,education_college,education_college_rate,education_high_school_graduate_rate,education_less_than_high_school_rate,employ_rate
9007010,連江縣,南竿鄉,3932.0,2244.0,4336.0,0.4124809741248097,0.3740487062404871,0.2134703196347032,0.9961818181818182
9007020,連江縣,北竿鄉,3932.0,2244.0,4336.0,0.4124809741248097,0.3740487062404871,0.2134703196347032,0.9961818181818182
9007030,連江縣,莒光鄉,3932.0,2244.0,4336.0,0.4124809741248097,0.3740487062404871,0.2134703196347032,0.9961818181818182
9007040,連江縣,東引鄉,3932.0,2244.0,4336.0,0.4124809741248097,0.3740487062404871,0.2134703196347032,0.9961818181818182
9020010,金門縣,金城鎮,17297.0,17255.0,20895.0,0.3768463577831082,0.3119555611665194,0.31119808105037244,0.9871818181818182
9020020,金門縣,金沙鎮,17297.0,17255.0,20895.0,0.3768463577831082,0.3119555611665194,0.31119808105037244,0.9871818181818182
9020030,金門縣,金湖鎮,17297.0,17255.0,20895.0,0.3768463577831082,0.3119555611665194,0.31119808105037244,0.9871818181818182
9020040,金門縣,金寧鄉,17297.0,17255.0,20895.0,0.3768463577831082,0.3119555611665194,0.31119808105037244,0.9871818181818182
9020050,金門縣,烈嶼鄉,17297.0,17255.0,20895.0,0.3768463577831082,0.3119555611665194,0.31119808105037244,0.9871818181818182
9020060,金門縣,烏坵鄉,17297.0,17255.0,20895.0,0.3768463577831082,0.3119555611665194,0.31119808105037244,0.9871818181818182
10002010,宜蘭縣,宜蘭市,106167.0,134944.0,121998.0,0.335981757543878,0.2923832788501524,0.37163496360596954,0.96175
10002020,宜蘭縣,羅東鎮,106167.0,134944.0,121998.0,0.335981757543878,0.2923832788501524,0.37163496360596954,0.96175
10002030,宜蘭縣,蘇澳鎮,106167.0,134944.0,121998.0,0.335981757543878,0.2923832788501524,0.37163496360596954,0.96175
10002040,宜蘭縣,頭城鎮,106167.0,134944.0,121998.0,0.335981757543878,0.2923832788501524,0.37163496360596954,0.96175
10002050,宜蘭縣,礁溪鄉,106167.0,134944.0,121998.0,0.335981757543878,0.2923832788501524,0.37163496360596954,0.96175
10002060,宜蘭縣,壯圍鄉,106167.0,134944.0,121998.0,0.335981757543878,0.2923832788501524,0.37163496360596954,0.96175
10002070,宜蘭縣,員山鄉,106167.0,134944.0,121998.0,0.335981757543878,0.2923832788501524,0.37163496360596954,0.96175
10002080,宜蘭縣,冬山鄉,106167.0,134944.0,121998.0,0.335981757543878,0.2923832788501524,0.37163496360596954,0.96175
10002090,宜蘭縣,五結鄉,106167.0,134944.0,121998.0,0.335981757543878,0.2923832788501524,0.37163496360596954,0.96175
10002100,宜蘭縣,三星鄉,106167.0,134944.0,121998.0,0.335981757543878,0.2923832788501524,0.37163496360596954,0.96175
10002110,宜蘭縣,大同鄉,106167.0,134944.0,121998.0,0.335981757543878,0.2923832788501524,0.37163496360596954,0.96175
